sampleID,read_count,Lactobacillus_iners,Lactobacillus_hominis,Gardnerella_vaginalis,Sneathia_amnii,g_Streptococcus,g_Sphingobium,None,g_Blastomonas,g_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,f_Comamonadaceae,g_Gemella,Atopobium_vaginae,Lactobacillus_crispatus,g_Escherichia.Shigella,Prevotella_bivia,g_Methanosaeta,k_Eukaryota,g_Aerococcus,g_Anaerococcus,Sneathia_sanguinegens,BVAB2/BVAB3,g_Methylobacterium-Methylorubrum,Prevotella_amnii,g_Acinetobacter,Prevotella_timonensis,Prevotella_disiens,g_Saccharimonadales,g_Shinella,g_Peptostreptococcus,g_Mycoplasma,g_Parvimonas,g_Megasphaera,k_Bacteria,Prevotella_melaninogenica,g_Ureaplasma,g_Dialister,g_DNF00809,g_Lactobacillus,g_Mycobacterium,g_Peptoniphilus,g_Howardella,g_Veillonella,g_Porphyromonas,g_Finegoldia,g_Methyloversatilis,Lactobacillus_gasseri,g_Delftia,g_Atopobium,g_Rhodobacter,Prevotella_buccalis,g_Mageibacillus,g_Porphyrobacter,g_Phyllobacterium,f_Sphingomonadaceae,g_Cetobacterium,f_Caulobacteraceae,g_Acidovorax,g_Pseudomonas,g_Rikenellaceae_RC9_gut_group,g_Chloroplast,g_Moryella,g_Corynebacterium,g_Muribaculaceae,g_Sphingomonas,c_Bacilli,g_Enterococcus,g_Staphylococcus,g_Bosea,g_Sphingopyxis,g_Candidatus_Methanofastidiosum,g_Aeromonas,g_UCG-004,g_Bacillus,g_DSSF69,g_Succiniclasticum,g_Phreatobacter,g_Woesearchaeales,g_Lactococcus,k_Archaea,g_Weissella,Lactobacillus_jensenii,g_Brevibacillus,p_Firmicutes,g_Fusobacterium,g_Methanospirillum,f_Enterobacteriaceae,g_Sneathia,g_Butyrivibrio,g_Asaia,g_Comamonas,g_Bulleidia,g_Methanomethylovorans,g_NK4A214_group,f_Leptotrichiaceae,g_Solobacterium,g_Mitochondria,g_Saccharofermentans,g_Acetobacter,g_Actinomyces,f_Prevotellaceae,g_Prevotella,Lactobacillus_brevis,g_Methanoculleus,g_Brevundimonas,g_Stenotrophomonas,g_Ralstonia,g_Methanobacterium,g_Shewanella,g_CL500-29_marine_group,Lactobacillus_fermentum,g_Methylobacter,g_Paenibacillus,f_Clostridiaceae,g_[Eubacterium]_coprostanoligenes_group,g_Lachnospiraceae_NK4A136_group,g_Klebsiella,g_Campylobacter,g_Veillonellaceae_UCG-001,c_Clostridia,Prevotella_colorans,g_Prevotellaceae_NK3B31_group,f_Lachnospiraceae,g_Fastidiosipila,g_Actinotignum,g_Pannonibacter,g_Truepera,g_Sutterella,o_Enterobacterales,g_Mucispirillum,g_Fenollaria,f_Yersiniaceae,g_Clostridium_sensu_stricto_1,g_uncultured,f_Rhodocyclaceae,uncultured_Prevotella,g_Bacteroides,g_Candidatus_Methanoplasma,o_Lactobacillales,g_Bifidobacterium,g_Pelagibacterium,g_Helicobacter,g_Candidatus_Soleaferrea,uncultured_Lactobacillus,g_Novosphingobium,f_Ruminococcaceae,g_Oscillibacter,g_Chlamydia,g_F082,o_Oscillospirales,g_Peptococcus,g_Alloprevotella,g_Anaerotruncus,g_Facklamia,g_Prevotellaceae_UCG-001,g_Christensenellaceae_R-7_group,g_Ruminococcaceae,g_Tsukamurella,g_Ruminococcus,g_Ezakiella,g_TM7a,g_Aureimonas,g_Bacteroidales_RF16_group,f_Micrococcaceae,f_Methanomethylophilaceae,g_Plesiomonas,o_Bacteroidales,g_Papillibacter,g_Family_XIII_AD3011_group,Prevotella_bergensis,g_Lawsonella,g_Varibaculum,g_RumEn_M2,Lactobacillus_intestinalis,g_Parabacteroides,p_Proteobacteria,g_Anaeroplasma,g_Alistipes,f_Oscillospiraceae,g_Arcanobacterium,g_Anaerovorax,g_Dubosiella,g_Chitinophaga,g_Butyricicoccus,f_Oxalobacteraceae,g_Caldisericum,g_Desulfovibrio,f_Staphylococcaceae,g_Akkermansia,g_Candidatus_Saccharimonas,g_WD2101_soil_group,g_Undibacterium,g_SP3-e08,g_UCG-010,g_Desulfosporosinus,g_[Ruminococcus]_gauvreauii_group,f_Microbacteriaceae,f_Bifidobacteriaceae,g_Erysipelatoclostridium,f_Selenomonadaceae,g_Clostridia_vadinBB60_group,g_Amnipila,g_Mobiluncus,g_ASF356,g_Muribaculum,g_Clostridia_UCG-014,g_Lachnospiraceae_UCG-004,g_Actinobaculum,g_Quinella,g_Pediococcus,g_Prevotellaceae_UCG-003,g_Lachnospiraceae_AC2044_group,g_Lachnospiraceae_UCG-006,g_Phacus,g_Deep_Sea_Euryarchaeotic_Group(DSEG),g_Megamonas,c_Bacteroidia,g_Pseudobutyrivibrio,g_U29-B03,f_Hyphomonadaceae,g_Lachnospiraceae_UCG-008,g_Aminicenantales,g_Romboutsia,g_[Eubacterium]_siraeum_group,g_Candidatus_Omnitrophus,g_UCG-011,g_vadinBE97,f_Pirellulaceae,g_Bacteroidales_UCG-001,g_Bacteroidales_BS11_gut_group,g_Paraprevotella,g_[Eubacterium]_nodatum_group,g_Family_XIII_UCG-001,g_Acetitomaculum,g_Erysipelothrix,g_Odoribacter,g_Ruminiclostridium,g_WCHB1-41,o_Rotaliida,g_Lachnospiraceae_FE2018_group,o_Euglenophyceae,g_Armatimonadales,f_Mycoplasmataceae,g_Pantoea,g_Herbaspirillum
W0002,17845.0,7908.0,6853.0,0.0,0.0,0.0,0.0,885.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,22.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0006,12102.0,595.0,218.0,566.0,1309.0,0.0,0.0,3620.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,734.0,0.0,660.0,0.0,584.0,0.0,0.0,0.0,0.0,0.0,1214.0,0.0,0.0,0.0,202.0,1025.0,6.0,0.0,17.0,0.0,19.0,182.0,48.0,0.0,0.0,122.0,0.0,0.0,45.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0008,24098.0,469.0,406.0,2431.0,3891.0,0.0,0.0,7086.0,0.0,7.0,0.0,1665.0,0.0,0.0,0.0,1916.0,0.0,2838.0,738.0,74.0,0.0,0.0,0.0,0.0,0.0,441.0,398.0,0.0,0.0,444.0,0.0,0.0,0.0,62.0,0.0,6.0,111.0,0.0,0.0,0.0,343.0,9.0,311.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0008-sg,121190.0,3237.0,0.0,44569.0,26426.0,10.0,14.0,919.0,20.0,24.0,16.0,9354.0,0.0,0.0,14.0,13874.0,0.0,4.0,5141.0,190.0,0.0,0.0,0.0,0.0,126.0,2803.0,2398.0,0.0,37.0,1567.0,5.0,0.0,0.0,21.0,0.0,9.0,632.0,0.0,570.0,0.0,877.0,34.0,1816.0,0.0,893.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.0,54.0,13.0,39.0,277.0,550.0,0.0,5.0,321.0,0.0,20.0,0.0,0.0,7.0,0.0,0.0,118.0,54.0,0.0,0.0,87.0,0.0,0.0,64.0,0.0,110.0,0.0,13.0,3.0,0.0,0.0,137.0,0.0,70.0,0.0,0.0,0.0,0.0,49.0,2.0,84.0,97.0,29.0,0.0,124.0,141.0,384.0,13.0,0.0,0.0,96.0,49.0,0.0,57.0,0.0,9.0,0.0,0.0,47.0,25.0,53.0,0.0,0.0,31.0,86.0,0.0,73.0,222.0,0.0,45.0,0.0,0.0,0.0,41.0,31.0,0.0,0.0,8.0,22.0,37.0,34.0,156.0,0.0,0.0,46.0,0.0,40.0,8.0,0.0,0.0,28.0,0.0,0.0,40.0,5.0,0.0,32.0,16.0,0.0,52.0,26.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,0.0,0.0,17.0,59.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,13.0,34.0,16.0,0.0,15.0,10.0,10.0,10.0,9.0,9.0,9.0,16.0,9.0,3.0,0.0,0.0,8.0,26.0,8.0,8.0,0.0,0.0,7.0,0.0,6.0,6.0,0.0,7.0,5.0,8.0,9.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
W0012,7216.0,3092.0,415.0,1333.0,0.0,0.0,0.0,972.0,0.0,18.0,0.0,22.0,0.0,70.0,0.0,9.0,0.0,22.0,178.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,0.0,20.0,39.0,0.0,149.0,0.0,0.0,11.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0013,13193.0,0.0,0.0,0.0,0.0,0.0,124.0,6689.0,0.0,5315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,383.0,0.0,0.0,0.0,147.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0014,25969.0,3310.0,2528.0,2157.0,1111.0,0.0,0.0,7958.0,0.0,27.0,0.0,140.0,644.0,0.0,0.0,0.0,0.0,1669.0,229.0,73.0,1312.0,50.0,0.0,1543.0,0.0,364.0,77.0,0.0,0.0,0.0,0.0,214.0,209.0,69.0,125.0,16.0,651.0,159.0,0.0,0.0,86.0,0.0,25.0,260.0,0.0,0.0,0.0,0.0,3.0,0.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0015,10926.0,7427.0,2661.0,348.0,0.0,0.0,0.0,245.0,0.0,6.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0015-sg,115191.0,100137.0,0.0,955.0,6.0,0.0,0.0,3967.0,61.0,17.0,0.0,194.0,193.0,9.0,13.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,70.0,0.0,248.0,17.0,0.0,3807.0,3.0,0.0,0.0,72.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,112.0,0.0,18.0,102.0,393.0,0.0,4.0,117.0,0.0,274.0,0.0,0.0,0.0,0.0,2.0,99.0,148.0,45.0,0.0,242.0,0.0,0.0,253.0,7.0,208.0,0.0,153.0,117.0,0.0,0.0,155.0,0.0,94.0,0.0,0.0,0.0,0.0,85.0,88.0,0.0,185.0,80.0,0.0,0.0,0.0,25.0,58.0,0.0,4.0,71.0,64.0,0.0,45.0,0.0,46.0,0.0,69.0,53.0,69.0,64.0,0.0,0.0,72.0,244.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,38.0,55.0,59.0,0.0,0.0,88.0,0.0,31.0,0.0,0.0,18.0,30.0,52.0,0.0,28.0,28.0,28.0,4.0,58.0,0.0,0.0,10.0,0.0,0.0,8.0,21.0,0.0,20.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,2.0,2.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W0037,18464.0,6847.0,6970.0,0.0,0.0,0.0,0.0,2255.0,0.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
